Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-06-17,41.82,42.65,41.36,41.4,9027600.0,0.0,1.0,41.82,42.65,41.36,41.4,9027600.0
2008-06-18,40.81,41.54,40.71,40.94,6306400.0,0.0,1.0,40.81,41.54,40.71,40.94,6306400.0
2008-06-19,40.78,42.19,40.34,42.0,5714700.0,0.0,1.0,40.78,42.19,40.34,42.0,5714700.0
2008-06-20,40.65,41.76,40.33,40.55,8423200.0,0.0,1.0,40.65,41.76,40.33,40.55,8423200.0
2008-06-23,40.9,40.91,40.1182,40.37,4999200.0,0.0,1.0,40.9,40.91,40.1182,40.37,4999200.0
2008-06-24,40.86,41.81,40.7,41.38,6783600.0,0.0,1.0,40.86,41.81,40.7,41.38,6783600.0
2008-06-25,41.8,42.7,41.5,42.34,6023300.0,0.0,1.0,41.8,42.7,41.5,42.34,6023300.0
2008-06-26,41.76,41.93,40.78,40.83,7001400.0,0.0,1.0,41.76,41.93,40.78,40.83,7001400.0
2008-06-27,40.69,40.94,39.5,39.8,11824500.0,0.0,1.0,40.69,40.94,39.5,39.8,11824500.0
2008-06-30,39.63,39.99,39.28,39.39,6542300.0,0.0,1.0,39.63,39.99,39.28,39.39,6542300.0
2008-07-01,39.23,40.41,39.0,40.38,10247400.0,0.0,1.0,39.23,40.41,39.0,40.38,10247400.0
2008-07-02,40.5,41.3,39.8088,39.81,7182600.0,0.0,1.0,40.5,41.3,39.8088,39.81,7182600.0
2008-07-03,40.27,40.65,39.81,40.39,3387300.0,0.0,1.0,40.27,40.65,39.81,40.39,3387300.0
2008-07-07,39.81,40.86,38.81,39.72,8583900.0,0.0,1.0,39.81,40.86,38.81,39.72,8583900.0
2008-07-08,39.46,39.78,38.73,39.64,8355900.0,0.0,1.0,39.46,39.78,38.73,39.64,8355900.0
2008-07-09,39.49,39.74,38.2251,38.23,6353000.0,0.0,1.0,39.49,39.74,38.2251,38.23,6353000.0
2008-07-10,38.29,39.76,38.23,39.61,7147600.0,0.0,1.0,38.29,39.76,38.23,39.61,7147600.0
2008-07-11,39.03,40.2,38.69,39.24,6971500.0,0.0,1.0,39.03,40.2,38.69,39.24,6971500.0
2008-07-14,39.03,39.88,38.37,38.38,6995600.0,0.0,1.0,39.03,39.88,38.37,38.38,6995600.0
2008-07-15,39.15,40.53,37.75,39.83,10799100.0,0.0,1.0,39.15,40.53,37.75,39.83,10799100.0
2008-07-16,39.77,41.1013,39.5,41.05,6940500.0,0.0,1.0,39.77,41.1013,39.5,41.05,6940500.0
2008-07-17,41.02,41.71,40.65,41.54,5148300.0,0.0,1.0,41.02,41.71,40.65,41.54,5148300.0
2008-07-18,41.0,42.19,40.75,41.98,6190500.0,0.0,1.0,41.0,42.19,40.75,41.98,6190500.0
2008-07-21,41.87,41.94,40.7,41.16,5162100.0,0.0,1.0,41.87,41.94,40.7,41.16,5162100.0
2008-07-22,40.96,40.96,39.6,40.3,9957200.0,0.0,1.0,40.96,40.96,39.6,40.3,9957200.0
2008-07-23,40.77,42.34,40.63,41.82,10085000.0,0.0,1.0,40.77,42.34,40.63,41.82,10085000.0
2008-07-24,41.0,41.27,40.43,40.72,5533000.0,0.0,1.0,41.0,41.27,40.43,40.72,5533000.0
2008-07-25,41.07,41.42,40.6,40.9,5147700.0,0.0,1.0,41.07,41.42,40.6,40.9,5147700.0
