Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2008-03-13,6.31,6.78,6.31,6.73,23734900.0,0.0,1.0,6.31,6.78,6.31,6.73,23734900.0
2008-03-14,6.76,6.83,6.35,6.38,25336000.0,0.0,1.0,6.76,6.83,6.35,6.38,25336000.0
2008-03-17,6.2,6.41,6.16,6.34,19283500.0,0.0,1.0,6.2,6.41,6.16,6.34,19283500.0
2008-03-18,6.46,6.54,6.27,6.39,21990800.0,0.0,1.0,6.46,6.54,6.27,6.39,21990800.0
2008-03-19,6.43,6.45,6.11,6.15,19822600.0,0.0,1.0,6.43,6.45,6.11,6.15,19822600.0
2008-03-20,6.17,6.22,6.07,6.11,25882800.0,0.0,1.0,6.17,6.22,6.07,6.11,25882800.0
2008-03-24,6.2,6.34,6.13,6.21,18015700.0,0.0,1.0,6.2,6.34,6.13,6.21,18015700.0
2008-03-25,6.29,6.34,6.15,6.3,16347100.0,0.0,1.0,6.29,6.34,6.15,6.3,16347100.0
2008-03-26,6.25,6.3,6.12,6.22,16266700.0,0.0,1.0,6.25,6.3,6.12,6.22,16266700.0
2008-03-27,6.31,6.33,6.16,6.16,11456800.0,0.0,1.0,6.31,6.33,6.16,6.16,11456800.0
2008-03-28,6.2,6.22,5.76,5.91,35744400.0,0.0,1.0,6.2,6.22,5.76,5.91,35744400.0
2008-03-31,5.84,6.02,5.78,5.89,18961800.0,0.0,1.0,5.84,6.02,5.78,5.89,18961800.0
2008-04-01,5.93,6.11,5.89,6.07,16203300.0,0.0,1.0,5.93,6.11,5.89,6.07,16203300.0
2008-04-02,6.08,6.37,6.08,6.19,30141100.0,0.0,1.0,6.08,6.37,6.08,6.19,30141100.0
2008-04-03,6.16,6.29,6.15,6.26,39533000.0,0.0,1.0,6.16,6.29,6.15,6.26,39533000.0
2008-04-04,6.24,6.331,6.16,6.23,21184100.0,0.0,1.0,6.24,6.331,6.16,6.23,21184100.0
2008-04-07,6.31,6.47,6.27,6.34,25995100.0,0.0,1.0,6.31,6.47,6.27,6.34,25995100.0
2008-04-08,6.11,6.18,5.95,6.03,61778900.0,0.0,1.0,6.11,6.18,5.95,6.03,61778900.0
2008-04-09,6.07,6.3,5.98,6.26,26884100.0,0.0,1.0,6.07,6.3,5.98,6.26,26884100.0
2008-04-10,6.29,6.48,6.23,6.27,21680200.0,0.0,1.0,6.29,6.48,6.23,6.27,21680200.0
2008-04-11,6.21,6.29,5.97,6.01,22158500.0,0.0,1.0,6.21,6.29,5.97,6.01,22158500.0
2008-04-14,6.06,6.09,5.83,5.86,19333100.0,0.0,1.0,6.06,6.09,5.83,5.86,19333100.0
2008-04-15,5.91,5.91,5.61,5.78,22744000.0,0.0,1.0,5.91,5.91,5.61,5.78,22744000.0
